cve_id,published,year,severity,score,keyword_hits,macro_area,subcategory,description,cpe_matches,relevance_reason
CVE-2017-5009,2017-02-17T07:59:00.293,2017,HIGH,8.8,WebRTC,Client / Browser,Client/browser weakness,"WebRTC in Google Chrome prior to 56.0.2924.76 for Linux, Windows and Mac, and 56.0.2924.87 for Android, failed to perform proper bounds checking, which allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page.",cpe:2.3:a:google:chrome:*:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2017-5068,2017-10-27T05:29:00.770,2017,HIGH,7.5,WebRTC,Client / Browser,Client/browser weakness,"Incorrect handling of picture ID in WebRTC in Google Chrome prior to 58.0.3029.96 for Mac, Windows, and Linux allowed a remote attacker to trigger a race condition via a crafted HTML page.",cpe:2.3:a:google:chrome:*:*:*:*:*:*:*:*; cpe:2.3:o:apple:macos:-:*:*:*:*:*:*:*; cpe:2.3:o:linux:linux_kernel:-:*:*:*:*:*:*:*; cpe:2.3:o:microsoft:windows:-:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_desktop:6.0:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_server:6.0:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_workstation:6.0:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2017-5388,2018-06-11T21:29:03.407,2018,HIGH,7.5,STUN,Client / Browser,Client/browser weakness,"A STUN server in conjunction with a large number of ""webkitRTCPeerConnection"" objects can be used to send large STUN packets in a short period of time due to a lack of rate limiting being applied on e10s systems, allowing for a denial of service attack. This vulnerability affects Firefox < 51.",cpe:2.3:a:mozilla:firefox:*:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2017-7799,2018-06-11T21:29:09.733,2018,MEDIUM,6.1,WebRTC,Client / Browser,Client/browser weakness,"JavaScript in the ""about:webrtc"" page is not sanitized properly being assigned to ""innerHTML"". Data on this page is supplied by WebRTC usage and is not under third-party control, making this difficult to exploit, but the vulnerability could possibly be used for a cross-site scripting (XSS) attack. This vulnerability affects Firefox < 55.",cpe:2.3:a:mozilla:firefox:*:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2018-16071,2019-01-09T19:29:01.887,2019,HIGH,8.8,WebRTC,Client / Browser,Client/browser weakness,A use after free in WebRTC in Google Chrome prior to 69.0.3497.81 allowed a remote attacker to potentially exploit heap corruption via a crafted video file.,cpe:2.3:a:google:chrome:*:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_desktop:6.0:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_server:6.0:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_workstation:6.0:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2018-16083,2019-01-09T19:29:02.337,2019,HIGH,8.8,WebRTC,Client / Browser,Client/browser weakness,An out of bounds read in forward error correction code in WebRTC in Google Chrome prior to 69.0.3497.81 allowed a remote attacker to perform an out of bounds memory read via a crafted HTML page.,cpe:2.3:a:google:chrome:*:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_desktop:6.0:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_server:6.0:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_workstation:6.0:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2018-5091,2018-06-11T21:29:12.297,2018,CRITICAL,9.8,WebRTC,Client / Browser,Client/browser weakness,A use-after-free vulnerability can occur during WebRTC connections when interacting with the DTMF timers. This results in a potentially exploitable crash. This vulnerability affects Firefox ESR < 52.6 and Firefox < 58.,cpe:2.3:o:debian:debian_linux:7.0:*:*:*:*:*:*:*; cpe:2.3:o:debian:debian_linux:8.0:*:*:*:*:*:*:*; cpe:2.3:o:debian:debian_linux:9.0:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux:6.0:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux:7.0:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_desktop:6.0:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_desktop:7.0:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_server:6.0:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_server:7.0:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_server_aus:7.3:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_server_aus:7.4:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_server_eus:7.3:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_server_eus:7.4:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_server_eus:7.5:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_workstation:6.0:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_workstation:7.0:*:*:*:*:*:*:*; cpe:2.3:a:mozilla:firefox:*:*:*:*:*:*:*:*; cpe:2.3:a:mozilla:firefox:*:*:*:*:*:*:*:*; cpe:2.3:o:canonical:ubuntu_linux:14.04:*:*:*:lts:*:*:*; cpe:2.3:o:canonical:ubuntu_linux:16.04:*:*:*:lts:*:*:*; cpe:2.3:o:canonical:ubuntu_linux:17.10:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2018-5130,2018-06-11T21:29:14.077,2018,HIGH,8.8,WebRTC; RTP,Client / Browser,Client/browser weakness,"When packets with a mismatched RTP payload type are sent in WebRTC connections, in some circumstances a potentially exploitable crash is triggered. This vulnerability affects Firefox ESR < 52.7 and Firefox < 59.",cpe:2.3:o:debian:debian_linux:7.0:*:*:*:*:*:*:*; cpe:2.3:o:debian:debian_linux:8.0:*:*:*:*:*:*:*; cpe:2.3:o:debian:debian_linux:9.0:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_desktop:6.0:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_desktop:7.0:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_server:6.0:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_server:7.0:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_server_aus:7.4:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_server_eus:7.4:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_server_eus:7.5:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_workstation:6.0:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_workstation:7.0:*:*:*:*:*:*:*; cpe:2.3:o:canonical:ubuntu_linux:14.04:*:*:*:lts:*:*:*; cpe:2.3:o:canonical:ubuntu_linux:16.04:*:*:*:lts:*:*:*; cpe:2.3:o:canonical:ubuntu_linux:17.10:*:*:*:*:*:*:*; cpe:2.3:a:mozilla:firefox:*:*:*:*:*:*:*:*; cpe:2.3:a:mozilla:firefox:*:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2018-5160,2018-06-11T21:29:15.373,2018,HIGH,7.5,WebRTC,Client / Browser,Client/browser weakness,"WebRTC can use a ""WrappedI420Buffer"" pixel buffer but the owning image object can be freed while it is still in use. This can result in the WebRTC encoder using uninitialized memory, leading to a potentially exploitable crash. This vulnerability affects Firefox < 60.",cpe:2.3:o:canonical:ubuntu_linux:14.04:*:*:*:lts:*:*:*; cpe:2.3:o:canonical:ubuntu_linux:16.04:*:*:*:lts:*:*:*; cpe:2.3:o:canonical:ubuntu_linux:17.10:*:*:*:*:*:*:*; cpe:2.3:o:canonical:ubuntu_linux:18.04:*:*:*:lts:*:*:*; cpe:2.3:a:mozilla:firefox:*:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2018-6129,2019-06-27T17:15:12.333,2019,MEDIUM,6.5,WebRTC,Client / Browser,Client/browser weakness,Out of bounds array access in WebRTC in Google Chrome prior to 67.0.3396.62 allowed a remote attacker to potentially perform out of bounds memory access via a crafted HTML page.,cpe:2.3:a:google:chrome:*:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2018-6130,2019-06-27T17:15:12.397,2019,MEDIUM,6.5,WebRTC,Client / Browser,Client/browser weakness,Incorrect handling of object lifetimes in WebRTC in Google Chrome prior to 67.0.3396.62 allowed a remote attacker to potentially perform out of bounds memory access via a crafted HTML page.,cpe:2.3:a:google:chrome:*:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2018-6132,2019-06-27T17:15:12.520,2019,MEDIUM,4.3,WebRTC,Client / Browser,Client/browser weakness,Uninitialized data in WebRTC in Google Chrome prior to 67.0.3396.62 allowed a remote attacker to obtain potentially sensitive information from process memory via a crafted video file.,cpe:2.3:a:google:chrome:*:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2018-6156,2019-06-27T17:15:13.177,2019,HIGH,8.8,WebRTC,Client / Browser,Client/browser weakness,Incorect derivation of a packet length in WebRTC in Google Chrome prior to 68.0.3440.75 allowed a remote attacker to potentially exploit heap corruption via a crafted video file.,cpe:2.3:a:google:chrome:*:*:*:*:*:*:*:*; cpe:2.3:o:canonical:ubuntu_linux:16.04:*:*:*:esm:*:*:*; cpe:2.3:o:canonical:ubuntu_linux:18.04:*:*:*:lts:*:*:*; cpe:2.3:o:canonical:ubuntu_linux:19.04:*:*:*:*:*:*:*; cpe:2.3:o:canonical:ubuntu_linux:19.10:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2018-6157,2019-06-27T17:15:13.223,2019,HIGH,8.8,WebRTC,Client / Browser,Client/browser weakness,Type confusion in WebRTC in Google Chrome prior to 68.0.3440.75 allowed a remote attacker to potentially exploit heap corruption via a crafted video file.,cpe:2.3:a:google:chrome:*:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2019-11749,2019-09-27T18:15:12.913,2019,MEDIUM,4.3,WebRTC; getUserMedia,Client / Browser,Client/browser weakness,A vulnerability exists in WebRTC where malicious web content can use probing techniques on the getUserMedia API using constraints to reveal device properties of cameras on the system without triggering a user prompt or notification. This allows for the potential fingerprinting of users. This vulnerability affects Firefox < 69 and Firefox ESR < 68.1.,cpe:2.3:a:mozilla:firefox:*:*:*:*:*:*:*:*; cpe:2.3:a:mozilla:firefox_esr:*:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2019-11760,2020-01-08T20:15:12.703,2020,HIGH,8.8,WebRTC,Client / Browser,Client/browser weakness,"A fixed-size stack buffer could overflow in nrappkit when doing WebRTC signaling. This resulted in a potentially exploitable crash in some instances. This vulnerability affects Firefox < 70, Thunderbird < 68.2, and Firefox ESR < 68.2.",cpe:2.3:a:mozilla:firefox:*:*:*:*:*:*:*:*; cpe:2.3:a:mozilla:firefox_esr:*:*:*:*:*:*:*:*; cpe:2.3:a:mozilla:thunderbird:*:*:*:*:*:*:*:*; cpe:2.3:o:canonical:ubuntu_linux:16.04:*:*:*:esm:*:*:*,rtc-related description/cpe/reference
CVE-2019-13694,2019-11-25T15:15:32.197,2019,HIGH,8.8,WebRTC,Client / Browser,Client/browser weakness,Use after free in WebRTC in Google Chrome prior to 77.0.3865.120 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page.,cpe:2.3:a:google:chrome:*:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2019-13722,2020-01-14T19:15:13.000,2020,MEDIUM,6.5,WebRTC,Client / Browser,Client/browser weakness,Inappropriate implementation in WebRTC in Google Chrome prior to 79.0.3945.79 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page.,cpe:2.3:a:google:chrome:*:*:*:*:*:*:*:*; cpe:2.3:o:microsoft:windows:-:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2019-5760,2019-02-19T17:29:00.643,2019,HIGH,8.8,WebRTC,Client / Browser,Client/browser weakness,Insufficient checks of pointer validity in WebRTC in Google Chrome prior to 72.0.3626.81 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page.,cpe:2.3:a:google:chrome:*:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_desktop:6.0:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_server:6.0:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_workstation:6.0:*:*:*:*:*:*:*; cpe:2.3:o:fedoraproject:fedora:29:*:*:*:*:*:*:*; cpe:2.3:o:fedoraproject:fedora:30:*:*:*:*:*:*:*; cpe:2.3:o:debian:debian_linux:9.0:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2019-5764,2019-02-19T17:29:00.877,2019,HIGH,8.8,WebRTC,Client / Browser,Client/browser weakness,Incorrect pointer management in WebRTC in Google Chrome prior to 72.0.3626.81 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page.,cpe:2.3:a:google:chrome:*:*:*:*:*:*:*:*; cpe:2.3:o:debian:debian_linux:9.0:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_desktop:6.0:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_server:6.0:*:*:*:*:*:*:*; cpe:2.3:o:redhat:enterprise_linux_workstation:6.0:*:*:*:*:*:*:*; cpe:2.3:o:fedoraproject:fedora:29:*:*:*:*:*:*:*; cpe:2.3:o:fedoraproject:fedora:30:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2020-12420,2020-07-09T15:15:11.973,2020,HIGH,8.8,STUN,Client / Browser,Client/browser weakness,"When trying to connect to a STUN server, a race condition could have caused a use-after-free of a pointer, leading to memory corruption and a potentially exploitable crash. This vulnerability affects Firefox ESR < 68.10, Firefox < 78, and Thunderbird < 68.10.0.",cpe:2.3:a:mozilla:firefox:*:*:*:*:*:*:*:*; cpe:2.3:a:mozilla:firefox_esr:*:*:*:*:*:*:*:*; cpe:2.3:a:mozilla:thunderbird:*:*:*:*:*:*:*:*; cpe:2.3:o:canonical:ubuntu_linux:16.04:*:*:*:esm:*:*:*; cpe:2.3:o:canonical:ubuntu_linux:18.04:*:*:*:lts:*:*:*; cpe:2.3:o:canonical:ubuntu_linux:19.10:*:*:*:*:*:*:*; cpe:2.3:o:canonical:ubuntu_linux:20.04:*:*:*:lts:*:*:*; cpe:2.3:o:opensuse:leap:15.1:*:*:*:*:*:*:*; cpe:2.3:o:opensuse:leap:15.2:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2020-15969,2020-11-03T03:15:12.790,2020,HIGH,8.8,WebRTC,Client / Browser,Client/browser weakness,Use after free in WebRTC in Google Chrome prior to 86.0.4240.75 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page.,cpe:2.3:a:google:chrome:*:*:*:*:*:*:*:*; cpe:2.3:o:debian:debian_linux:10.0:*:*:*:*:*:*:*; cpe:2.3:o:fedoraproject:fedora:31:*:*:*:*:*:*:*; cpe:2.3:o:fedoraproject:fedora:32:*:*:*:*:*:*:*; cpe:2.3:o:fedoraproject:fedora:33:*:*:*:*:*:*:*; cpe:2.3:a:opensuse:backports_sle:15.0:sp2:*:*:*:*:*:*; cpe:2.3:a:apple:safari:*:*:*:*:*:*:*:*; cpe:2.3:o:apple:ipados:*:*:*:*:*:*:*:*; cpe:2.3:o:apple:iphone_os:*:*:*:*:*:*:*:*; cpe:2.3:o:apple:macos:*:*:*:*:*:*:*:*; cpe:2.3:o:apple:tvos:*:*:*:*:*:*:*:*; cpe:2.3:o:apple:watchos:*:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2020-15987,2020-11-03T03:15:14.010,2020,HIGH,8.8,WebRTC,Client / Browser,Client/browser weakness,Use after free in WebRTC in Google Chrome prior to 86.0.4240.75 allowed a remote attacker to potentially exploit heap corruption via a crafted WebRTC stream.,cpe:2.3:a:google:chrome:*:*:*:*:*:*:*:*; cpe:2.3:o:fedoraproject:fedora:31:*:*:*:*:*:*:*; cpe:2.3:o:fedoraproject:fedora:32:*:*:*:*:*:*:*; cpe:2.3:o:fedoraproject:fedora:33:*:*:*:*:*:*:*; cpe:2.3:a:opensuse:backports_sle:15.0:sp2:*:*:*:*:*:*; cpe:2.3:o:debian:debian_linux:10.0:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2020-16008,2020-11-03T03:15:15.433,2020,HIGH,8.8,WebRTC,Client / Browser,Client/browser weakness,Stack buffer overflow in WebRTC in Google Chrome prior to 86.0.4240.183 allowed a remote attacker to potentially exploit stack corruption via a crafted WebRTC packet.,cpe:2.3:a:google:chrome:*:*:*:*:*:*:*:*; cpe:2.3:a:opensuse:backports_sle:15.0:sp1:*:*:*:*:*:*; cpe:2.3:a:opensuse:backports_sle:15.0:sp2:*:*:*:*:*:*; cpe:2.3:o:debian:debian_linux:10.0:*:*:*:*:*:*:*; cpe:2.3:o:fedoraproject:fedora:32:*:*:*:*:*:*:*; cpe:2.3:o:fedoraproject:fedora:33:*:*:*:*:*:*:*; cpe:2.3:o:opensuse:leap:15.1:*:*:*:*:*:*:*; cpe:2.3:o:opensuse:leap:15.2:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2020-16026,2021-01-08T19:15:13.273,2021,HIGH,8.8,WebRTC,Client / Browser,Client/browser weakness,Use after free in WebRTC in Google Chrome prior to 87.0.4280.66 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page.,cpe:2.3:a:google:chrome:*:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2020-16028,2021-01-08T19:15:13.397,2021,HIGH,8.8,WebRTC,Client / Browser,Client/browser weakness,Heap buffer overflow in WebRTC in Google Chrome prior to 87.0.4280.66 allowed a remote attacker to potentially exploit heap corruption via a crafted HTML page.,cpe:2.3:a:google:chrome:*:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2020-16034,2021-01-08T19:15:13.740,2021,MEDIUM,4.3,WebRTC,Client / Browser,Client/browser weakness,Inappropriate implementation in WebRTC in Google Chrome prior to 87.0.4280.66 allowed a local attacker to bypass policy restrictions via a crafted HTML page.,cpe:2.3:a:google:chrome:*:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2020-16044,2021-02-09T14:15:14.450,2021,HIGH,8.8,WebRTC,Client / Browser,Client/browser weakness,Use after free in WebRTC in Google Chrome prior to 88.0.4324.96 allowed a remote attacker to potentially exploit heap corruption via a crafted SCTP packet.,cpe:2.3:a:google:chrome:*:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2020-6387,2020-02-11T15:15:12.350,2020,HIGH,8.8,WebRTC,Client / Browser,Client/browser weakness,Out of bounds write in WebRTC in Google Chrome prior to 80.0.3987.87 allowed a remote attacker to potentially exploit heap corruption via a crafted video stream.,cpe:2.3:a:google:chrome:*:*:*:*:*:*:*:*,rtc-related description/cpe/reference
CVE-2020-6389,2020-02-11T15:15:12.507,2020,HIGH,8.8,WebRTC,Client / Browser,Client/browser weakness,Out of bounds write in WebRTC in Google Chrome prior to 80.0.3987.87 allowed a remote attacker to potentially exploit heap corruption via a crafted video stream.,cpe:2.3:a:google:chrome:*:*:*:*:*:*:*:*,rtc-related description/cpe/reference
